Agency code	Agency title	Established Year	Disestablished Year
BBXD	New Zealand Post Limited, Tolaga Bay	1987	1991
BBXE	New Zealand Post Limited, Te Aroroa	1987	1992
BBXF	New Zealand Post Limted, Te Karaka	1987	1992
BBXH	New Zealand Post Limited, Tokomaru Bay	1987	1992
BBXI	New Zealand Post Limited, Ruatoria	1987	1991
BBXJ	New Zealand Post Limited, Kawhia	1987	1988
BBXK	New Zealand Post Limited, Mamaku	1987	1989
BBXL	New Zealand Post Limited, Murupara	1987	1991
BBXM	New Zealand Post Limited, Reporoa	1987	1990
BBXN	New Zealand Post Limited, Paeroa	1987	? 1991
BBXO	New Zealand Post Limited, Taupiri	1987	1989
BBXP	New Zealand Post Limited, Te Kauwhata	1987	1989
BBXR	New Zealand Post Limited, Waiwera	1987	1988
BBXS	New Zealand Post Limited, Wellsford	1987	? 1991
BBXT	New Zealand Post Limited, Albertland	1987	1987
BBXU	New Zealand Post Limited, Kaukapakapa	1987	1989
BBXV	New Zealand Post Limited, Helensville	1987	current
BBXW	New Zealand Post Limited, Silverdale	1987	? 1991
BBXX	New Zealand Post Limited, Warkworth	1987	current
BBXY	New Zealand Post Limited, Kawerau	1987	current
BBXZ	New Zealand Post Limited, Taneatua	1987	1990
BBYA	New Zealand Post Limited, Matata	1987	1990
BBYB	New Zealand Post Limited, Waimana	1987	1989
BBYC	New Zealand Post Limited, Te Teko	1987	1990
BBYI	New Zealand Post Limited, Gisborne	1987	current
BBYK	New Zealand Post Limited, Rawene	1987	1991
BBYL	New Zealand Post Limited, Russell	1987	1993
BBYM	New Zealand Post Limited, Keri Keri	1987	? 1991
BBYN	New Zealand Post Limited, Kawakawa	1987	current
BBYO	New Zealand Post Limited, Okaihau	1987	1989
BBYP	New Zealand Post Limited, Ohaewai	1987	1988
BBYQ	New Zealand Post Limited, Kaeo	1987	1989
BBYR	New Zealand Post Limited, Totara North	1987	1988
BBYV	New Zealand Post Limited, Papatoetoe	1987	current
BBYW	New Zealand Post Limited, Manurewa	1987	current
BBYZ	New Zealand Post Limited, Howick	1987	current
BBZC	New Zealand Post Limited, Matakana	1987	1988
BBZD	New Zealand Post Limited, Pirongia	1987	1988
BBZF	New Zealand Post Limited, Birkenhead	1987	current
BBZG	New Zealand Post Limited, Browns Bay	1987	current
BBZH	New Zealand Post Limited, Avondale	1987	current
BBZI	New Zealand Post Limited, Devonport	1987	current
BBZJ	New Zealand Post Limited, Ellerslie	1987	current
BBZK	New Zealand Post Limited, Onehunga	1987	current
BBZL	New Zealand Post Limited, Takapuna	1987	1988
BBZM	New Zealand Post Limited, Puhoi	1987	1988
BBZN	New Zealand Post Limited, Turua	1987	1988
BBZO	New Zealand Post Limited, Te Puia Springs	1987	1988
BBZQ	New Zealand Post Limited, Bennydale	1987	unknown
BBZW	Taupo District Court	1867	current
BCAD	New Zealand Forest Service, Forest Research Institute	1949	1992
BCAF	Department of Lands, Hamilton District Office	1987	1990
BCAL	New Zealand Citrus Marketing Authority	1953	1981
BCAM	New Zealand Honey Marketing Authority, Head Office	1953	1983
BCBD	Works and Development Services Corporation New Zealand Limited, Northern Regional Office 	1988	? 1996
BCCI	Works Auckland Maintenance and Construction	1988	? 1989
BCCT	Ministry of Works, Residual Management Unit, Auckland	1988	1990
BCDR	Auckland Youth's Farm Settlement Board	1934	2001
CAHS	Christchurch District Court	? 1851	current
CAHX	Christchurch High Court	c. 1852	current
CAJQ	Burnham Camp Hospital	c. 1939	current
CAKF	Landcorp Farming Limited, Christchurch	1987	2008
CAKG	Land Corporation Limited, Hokitika	1987	c. 1996
CASQ	New Zealand Post Limited, Oamaru	1987	current
CASS	New Zealand Fire Service, Christchurch Transalpine Fire Region Headquarters	1975	current
CATT	New Zealand 1990 Commission, Christchurch Regional Office	1988	1991
CAVX	Healthlink South (Crown Health Enterprise)	1993	2001
CAVZ	Landcare Research New Zealand Ltd [Crown Research Institute]	1992	current
CAWM	Telecommunications Corporation of New Zealand Limited, Telecom South Limited, Christchurch	1987	current
CAWU	Canterbury Health (Crown Health Enterprise)	1993	2001
CAXB	Solid Energy New Zealand Limited, Westport Office	1987	current
CAXF	New Zealand Institute for Social Research and Development Ltd, Head Office [Crown Research Institute]	1992	1994
CAXI	New Zealand Institute for Crop and Food Research Limited, Head Office	1992	2008
CAXV	Arts Council of New Zealand Toi Aotearoa, Southern Office	1994	current
CAYL	New Zealand Defence Force, New Zealand Army, 3 Land Force Group Headquarters	c. 1990	current
CAYP	New Zealand Antarctic Institute	1996	current
CAZB	Industrial Research Ltd [Crown Research Institute]	1992	current
CAZH	Wheat Research Institute	1928	1988
CAZP	Institute of Environmental Science and Research Limited, Christchurch Science Centre	1992	current
CAZT	Land Transport Safety Authority, Christchurch Regional Office	1993	2004
CBAD	Quotable Value Limited, Christchurch Office	1998	current
CBAH	Community and Public Health, a Division of the Canterbury District Health Board	c. 1997	current
CBCH	Christchurch Fire Board	1906	1957
CBCI	Christchurch Metropolitan Fire Board	c. 1957	1975
CBCM	Canterbury Provincial Government Office, Christchurch	1853	1876
CBEB	New Zealand Fire Service, Timaru	1975	current
CBEC	New Zealand Fire Service, Greymouth	1975	current
CBES	Darfield Magistrate's Court	c. 1895	1965
CBEW	Royal Commission of Enquiry into Ballantyne's Fire	1948	1948
DABB	New Zealand Railways Corporation, District Engineer's Office, Dunedin	1981	? 1986
DABH	Chorus New Zealand, Dunedin	1987	current
DABP	Oamaru District Court	1861	current
DABU	New Zealand Railways Corporation, Hillside Railway Workshops	1981	1990
DABV	New Zealand Milk Board, Dunedin District Office	1953	1988
DACG	New Zealand Rail Limited, Area Office, Dunedin	1990	1993
DACK	Land Transport Safety Authority, Dunedin Regional Office	1993	2004
DACM	Balclutha District Court	? 1863	current
CACN	Milton Magistrate's Court	? 1862	1979
CACP	District Court of the Otago Gold Fields	1864	1909
DACS	Naseby District Land Office	c. 1872	1891
DACU	Hampden Magistrate's Court	c. 1868	1930
DACV	Kurow Magistrate's Court	? 1898	? 1939
DACW	Palmerston Magistrate's Court	c. 1867	1979
DACY	Gore Warden's Court	c. 1899	1973
DACZ	Orepuki Warden's Court	c. 1866	1930
DADA	Riverton Warden's Court	c. 1870	1953
DADC	Wyndham Warden's Court	? 1906	1930
DADO	Alexandra District Court	1862	current
DADS	District Court of Timaru and Oamaru	1870	1909
DADT	Dunedin District Court	? 1850	current
DADV	Court of Arbitration, Otago and Southland Industrial District	1895	1973
DAFS	The Power Company Limited	1991	current
DAHI	Healthcare Otago Ltd	1993	2001
DAHR	New Zealand Post Limited, Dunedin	1987	current
DAHW	Montecillo War Veterans' Home and Hospital	1918	current
DAHX	Dunedin Land Sales Court	1943	1948
DAHY	Dunedin Land Valuation Court	1949	1968
DAIC	New Zealand Forest Service, Stewart Island Station	? 1921	1987
DAIN	Tranz Rail Limited, Dunedin Area Office	1993	? 2004
DAIO	District Court of Western Otago	1872	1909
DAJJ	Hyde Magistrate's Court	c. 1864	c. 1912
DAJS	Maori Point Police Station	1863	1868
DAJX	Poolburn Police Station	1902	1903
DAKF	Fulton Home	1865	c. 1988
DALJ	Department of Lands & Survey, Fiordland National Park Headquarters, Te Anau	1981	1987
DALO	Fiordland National Park Board, Invercargill	1958	1981
DALP	Fiordland National Park Board Headquarters, Te Anau	1958	1981
DALU	District Court of Otago	1859	1864
DAMP	Warden's Court Oamaru	c. 1898	1973
YBBP	Waitemata Pest Destruction Board	1951	1971
YBBR	South Head Pest Destruction Board	1944	1971
YBCK	Waiuku Pest Destruction Board	1967	1971
YBCL	Kohekohe-Pollok Rabbit Board	1933	1967
YBCM	Waipipi Rabbit Board	1925	1953
YBCN	Ararimu Pest Destruction Board	1946	1971
YBCO	Maioro Rabbit Board	1924	1953
YCAF	Auckland Education Board	1857	1989
YCAO	Northland Area Health Board	1985	1993
YCBN	Health Research Council of New Zealand	1990	current
YCBO	Northland Health Ltd	1993	2001
ZABV	Auckland Healthcare Services Limited	1993	2001
ZACE	Opus International Consultants Ltd, Auckland Office	1996	current
State School			
ACHA	Woodville School	? 1878	current
ADCH	Te Atatu School	1907	1964
ADCL	Shirley Primary School	1916	current
ADFB	Rangikea School	1951	1966
ADMV	The Correspondence School	1922	current
ADRU	Te Puninga School	1918	2003
AEUI	St Canice's School/Sisters of Mercy Schools, Westport and Granity	c. 1882	current
AEVU	Puketaha School	1916	current
AEZA	Kimihia School	1897	current
AFGU	Kelston Boys High School	1963	current
AFHE	Whangarei High Schools Board	1879	1989
AFHP	Whangarei Boys High School	1881	current
AFHR	Whangarei Girls High School	1881	current
AFHS	Kamo High School	1960	current
AFHT	Tikipunga High School	1971	current
AFII	Terrace End School, Palmerston North	1884	current
AFIJ	Ngarua School	1907	2001
AGCI	Otaki Health Camp School	1932	2011
AGCJ	Oueroa School	1955	2012
AGDG	Makikihi School	1879	current
BABB	Pakuranga College 	1960	current
BBGR	One Tree Hill College	1955	current
BBZZ	Wainui Bay School	c. 1941	1972
BCCA	Howick District High School	? 1935	1959
CAJG	Campbell Park School	1908	1987
University			
ADFW	Auckland University of Technology	1895	current
ADGY	University of Auckland	1883	current
ADGZ	University of Canterbury	1873	current
ADHA	Lincoln University	1878	current
ADHB	Massey University	1927	current
ADHC	Victoria University of Wellington	1897	current
ADHG	University of Otago	1869	current
AGBK	New Zealand School of Agriculture	1937	1952
YCBW	University of Waikato	1964	current
Polytech			
ADHD	Te Wananga o Aotearoa	1984	current
